Doctor_ID,Name,Degree,Rating,Patients,City,Consult Fee,Experience,Speciality
AAA027,Dr. Suman Reddy,"BDS, MSc - Master of Oral Implantology (MOI), Fellowship and Diplomate in Implantology from ICOI (USA)",4.55,847,Bangalore,600,21,"Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
AAA028,Dr. Pramod Kumar Maurya   (Physiotherapist),BPTh/BPT,4.7,31,Bangalore,500,11,TherapistPhysiotherapist
AAA029,Dr. Mahendra K P,BDS,4.9,50,Bangalore,300,23,Dentist
AAA030,Dr. Sandeep Satsangi,"DM - Hepatology, MD - General Medicine, MBBS",4.85,37,Bangalore,740,13,Hepatologist
AAA031,Dr. Ranjitha G Babu,"MBBS, MS - Obstetrics & Gynaecology",5,57,Bangalore,600,17,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
AAA032,Dr. Kavitha J,BDS,4.85,64,Bangalore,300,27,"Dental Surgeon, Implantologist"
AAA033,Dr. Santhosh,"MBBS, MS - General Surgery, MCh - Neuro Surgery",4.1,11,Bangalore,1000,16,Neurosurgeon
AAA034,Dr. Kumar Prabhu,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",4.45,85,Bangalore,750,26,"Urologist, Urological Surgeon"
AAA035,Dr. G R Chandra Sekhar   (Physiotherapist),BPTh/BPT,5,118,Bangalore,450,18,TherapistPhysiotherapist
AAA036,Dr. Priti Venkatesh,"MBBS, MD - Obstetrics & Gynaecology, DGO",4.75,19,Bangalore,900,39,"Infertility Specialist, Obstetrician, Gynecologist"
AAA037,Dr. Poonam Prakash Kamble,"MBBS, Diploma in Child Health (DCH)",5,113,Bangalore,850,15,Pediatrician
AAA038,Dr. Kishore Babu S,"MBBS, MD - Pediatrics, DNB - Nephrology",3.15,27,Bangalore,1100,33,Nephrologist/Renal Specialist
AAA039,Dr. Shivekshith A K,MDS - Conservative Dentistry & Endodontics,4.8,70,Bangalore,300,10,Endodontist
AAA040,Dr. Udaybhaskar M,"MBBS, MS - General Surgery, MCh - Urology",3.85,47,Bangalore,750,18,"Urologist, Andrologist, Urological Surgeon"
AAA041,Dr. Sanjeev Kumar Hiremath,"MBBS, MD - General Medicine, DM - Nephrology",4,35,Bangalore,800,26,Nephrologist/Renal Specialist
AAA042,Dr. Prity Bhagat Lohia,"BDS, MDS - Periodontics",4.9,132,Bangalore,400,13,"Dental Surgeon, Periodontist, Implantologist"
AAA043,Dr. Anirban Chatterjee,"BDS, MDS - Periodontics",4.05,26,Bangalore,500,30,"Dentist, Periodontist, Implantologist"
AAA044,Ms. Nafeesa Imteyaz,MSc. - Dietetics & Food Service Management,4.9,3684,Bangalore,1000,28,TherapistDietitian/Nutritionist
AAA045,Dr. Asha Praveena,"BDS, MDS - Periodontics",4.9,453,Bangalore,300,15,"Periodontist, Implantologist, Cosmetic/Aesthetic Dentist"
AAA046,Dr. Raghavendra Chikkatur,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",4.4,24,Bangalore,700,23,"Cardiothoracic Surgeon, Thoracic (Chest) Surgeon"
AAA047,Dr. Akshitha Ratnakara Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy",4.8,26,Bangalore,600,14,"Dermatologist, Hair Transplant Surgeon, Aesthetic Dermatologist, Trichologist, Cosmetologist"
AAA048,Dr. Shwetha H P,"MBBS, DVD",4.8,23,Bangalore,650,11,Dermatologist
AAA049,Dr. Suhas Prabhakar,"BDS, MDS - Oral & Maxillofacial Surgery",4.9,48,Bangalore,300,14,Oral And MaxilloFacial Surgeon
AAA050,Dr. Divya Prahlad,"BDS, MDS - Paedodontics And Preventive Dentistry",4.7,17,Bangalore,1000,15,"Pediatric Dentist, Dentist"
AAA051,Dr. Parimala V Thirumalesh,"MBBS, MD - Pediatrics",4.8,23,Bangalore,800,23,Pediatrician
AAA052,Dr. Vidyashankar P,"MBBS, DNB - Paediatrics, DM - Nephrology",4.75,41,Bangalore,1000,21,Nephrologist/Renal Specialist
AAA053,Dr. Arun Kumar Rawal   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",4.95,121,Bangalore,1500,12,TherapistSports and Musculoskeletal Physiotherapist
AAA054,Dr. Abhijit Chavan,"DNB - Orthopedics/Orthopedic Surgery, MBBS",4.55,58,Bangalore,850,19,Orthopedic surgeon
AAA055,Ms. Kalpana Joshi,BSc - Speech & Hearing,4.65,27,Bangalore,500,30,TherapistAudiologist
AAA056,Dr. Archishubhra Pal   (Physiotherapist),"BPTh/BPT, Masters of Physiotheraphy",4.9,215,Bangalore,550,17,TherapistPhysiotherapist
AAA057,Dr. Madhuri Patil,"MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), MBBS, DGO",4.1,22,Bangalore,1000,38,"Infertility Specialist, Reproductive Endocrinologist (Infertility), Gynecologist"
AAA058,Dr. Vijayendra R,"MDS - Periodontics, BDS, MDS",5,95,Bangalore,400,48,"Periodontist, Dentist"
AAA059,Dr. Kalpana S Hegde,"MBBS, DNB - Otorhinolaryngology",4.85,130,Bangalore,750,24,ENT/ Otorhinolaryngologist
AAA060,Dr. Ranjani Rao,BDS,4.7,201,Bangalore,500,25,"Dentist, Implantologist"
AAA061,Dr. Harish K V,"MBBS, MD - General Medicine",4.3,57,Bangalore,1000,27,"General Physician, Internal Medicine"
AAA062,Dr. Pinto Kiran,"MBBS, MD - Ophthalmology",3.9,18,Bangalore,500,12,Ophthalmologist/ Eye Surgeon
AAA063,Dr. Aman Sodhi,"BDS, MDS - Oral Medicine and Radiology",4.9,777,Bangalore,300,21,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
AAA064,Dr. Tejas Suresh Rao,"MBBS, MD - General Medicine",4.75,109,Bangalore,850,13,"General Physician, Internal Medicine, Special Interest in Diabetology"
AAA065,Dr. Rajeev Pullagura,"MBBS, MS - General Surgery",5,19,Bangalore,650,14,"General Surgeon, Laparoscopic Surgeon, Diabetic Foot Surgeon"
AAA066,Dr. Tejaswini Nayak,"MBBS, Diploma in Paediatrics",4.8,549,Bangalore,1000,28,Pediatrician
AAA067,Dr. Neha Rajni,"BDS, MDS - Orthodontics",4.8,376,Bangalore,500,19,"Orthodontist, Dentist"
AAA068,Dr. Arul Selvi,"MBBS, DNB - Pediatrics",5,23,Bangalore,800,17,Pediatrician
AAA069,Dr. Aarthi Shankar,BDS,4.95,109,Bangalore,400,18,"Dentist, Dental Surgeon"
AAA070,Dr. Suhasini Inamdar,"MBBS, MS - Obstetrics & Gynaecology",4.8,157,Bangalore,800,38,"Obstetrician, Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
AAA071,Dr. Aarthi Bharat,"MBBS, MD - Obstetrics & Gynaecology",4.85,415,Bangalore,750,24,"Gynecologist, Obstetrician"
AAA072,Dr. Chitralekha N. Dambekodi,"MBBS, DGO, MRCOG(UK)",4.75,228,Bangalore,850,25,"Gynecologist, Obstetrician"
AAA073,Dr. Vijaya G,"MBBS, MS - General Surgery",4.95,131,Bangalore,850,29,"General Surgeon, Laparoscopic Surgeon"
AAA074,Dr. Meena Venkatraman,"MBBS, Diplomate of the American Board of Paediatrics",4.9,932,Bangalore,900,21,Pediatrician
AAA075,Dr. Salim A Khatib,"MBBS, DNB - Paediatrics, Diploma in Child Health (DCH)",4.75,20,Bangalore,1000,42,Pediatrician
AAA076,Dr. Prathik R,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MNAMS - Urology",4.9,62,Bangalore,700,10,Urologist
AAA077,Dr. Abhishek B,"BDS, MDS - Oral Pathology and Oral Microbiology, Fellowship in Oral implantlogy",5,169,Bangalore,200,16,"Dentist, Oral Pathologist"
AAA078,Dr. Prathap Kumar Pani,"MBBS, MS - General Surgery, MCh - Neuro Surgery",3.25,20,Bangalore,1000,41,Neurosurgeon
AAA079,Dr. Manju Deepthi B,"MBBS, MS - Obstetrics & Gynaecology",4.9,48,Bangalore,850,11,"Obstetrician, Gynecologist"
AAA080,Dr. Garima Aggarwal,"MBBS, MD - General Medicine, DM - Nephrology",4.95,102,Bangalore,850,13,Nephrologist/Renal Specialist
AAA081,Dr. Kavitha Lakshmi Easwaran,"MBBS, MD - Obstetrics & Gynaecology",4.75,627,Bangalore,700,26,"Gynecologist, Obstetrician, Infertility Specialist"
AAA082,Dr. Rajeev Ghat,"MBBS, MS - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",4.9,246,Bangalore,700,27,Orthopedic surgeon
AAA083,Dr. Vidya T.S,"MBBS, MD - Dermatology",4.8,1001,Bangalore,700,28,"Dermatologist, Aesthetic Dermatologist"
AAA084,Dr. Sanjiv C C,"MBBS, DM - Neurology",3.85,167,Bangalore,800,33,Neurologist
AAA085,Dr. Vijay Bhaskar (Ex. Major),"MBBS, MS - ENT",2.65,17,Bangalore,750,29,ENT/ Otorhinolaryngologist
AAA086,Dr. Mukunda Ramachandra,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",4.65,15,Bangalore,1150,22,Pediatric Surgeon
AAA087,Dr. Swapnil Chincholikar,"MDS - Prosthodontist And Crown Bridge, BDS",5,65,Bangalore,300,11,"Prosthodontist, Implantologist"
AAA088,Dr. Giridhar Venkatesh,"MBBS, MS - General Surgery, MCh - Urology",5,33,Bangalore,900,15,Urologist
AAA089,Dr. Deepanju D Changkakoti,"MBBS, MD - General Medicine",4.2,50,Bangalore,1000,31,"Internal Medicine, General Physician"
AAA090,Dr. Sandhya Ramanujam,BDS,4.5,187,Bangalore,500,29,Dentist
AAA091,Dr. Sreelakshmi C Reddy,"BAMS, PhD- Ayurveda",4.95,82,Bangalore,600,18,AYUSHAyurveda
AAA092,Dr. Abhisheak R Naik,"BDS, MDS - Oral Medicine and Radiology",5,373,Bangalore,200,12,"Cosmetic/Aesthetic Dentist, Dental Surgeon"
AAA093,Dr. Sriram Nathan,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",4.7,125,Bangalore,800,21,ENT/ Otorhinolaryngologist
AAA094,Dr. Mohan M.R,"MBBS, MS - Orthopaedics",4.75,153,Bangalore,500,21,Orthopedic surgeon
AAA095,Dr. Akhila Joshi,"BNYS, MSc - Clinical Nutrition and Dietetics",4.8,510,Bangalore,500,14,"AYUSHYoga and Naturopathy, Clinical Nutritionist, Dietitian/Nutritionist, Sports Nutritionist, Acupuncturist"
AAA096,Dr. Chetan Nelvigi,"MBBS, MS - Obstetrics & Gynaecology",4.4,24,Bangalore,900,31,"Gynecologist, Obstetrician, Infertility Specialist"
AAA097,Dr. Nandhini Ravindran,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",4.85,63,Bangalore,600,17,"Gynecologist, Obstetrician, Infertility Specialist"
AAA098,Dr. Neetha P.R,BAMS,4.85,34,Bangalore,300,21,"AYUSHAyurveda, Alternative Medicine"
AAA099,Dr. Sharan Shivraj Patil,"MBBS, Diploma in Orthopaedics, MS - Orthopaedics, M.Ch - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",4.35,152,Bangalore,1000,33,"Orthopedic surgeon, Joint Replacement Surgeon"
AAA100,Dr. Shobha Rani,"DGO, MBBS, MD - Obstetrics & Gynaecology",4.15,52,Bangalore,700,48,"Obstetrician, Gynecologist, Laparoscopic Surgeon (Obs & Gyn)"
AAA101,Dr. Nikhil C Hiremath,"MBBS, MD - General Medicine, DM - Neurology",4.65,70,Bangalore,850,14,Neurologist
AAA102,Dr. Jayakrishnan Pillai,"MBBS, DNB - Orthopedics/Orthopedic Surgery",4.85,1680,Bangalore,800,21,"Orthopedic surgeon, Joint Replacement Surgeon"
AAA103,Dr. Saud Ahmed,"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - Otorhinolaryngology",4.85,72,Bangalore,1000,15,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon"
AAA104,Dr. Anupama S Kakade,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)",4.6,25,Bangalore,700,19,General Physician
AAA105,Dr. Shankar D Desai,"MBBS, MD - Skin,VD & Leprosy",3.25,20,Bangalore,850,38,Dermatologist
AAA106,Dr. Prasanna K S,"MBBS, MD - General Medicine, DM - Gastroenterology",4.1,44,Bangalore,1000,17,Gastroenterologist
AAA107,Dr. Shrishailesh. D.M,"MBBS, MD - Pediatrics",4.85,112,Bangalore,700,15,Pediatrician
AAA108,Dr. Sushal Shanthakumar,"MBBS, MS - Orthopaedics",4.9,142,Bangalore,900,19,Orthopedic surgeon
AAA109,Dr. Mahesh Chandra Pai,"MBBS, DNB - General Medicine",4.85,176,Bangalore,600,24,"Internal Medicine, General Physician"
AAA110,Dr. Bhimasena Rao,"MBBS, DNB - Respiratory Diseases",5,25,Bangalore,1000,28,Pulmonologist
AAA111,Dr. Srimani,BDS,4.8,95,Bangalore,200,24,"Dentist, Dental Surgeon"
AAA112,Dr. Nataraj H M,"MBBS, MS - Orthopaedics",4.9,100,Bangalore,500,17,Orthopedic surgeon
AAA113,Dr. Mayur Nair,"Doctor of Medicine, MS - ENT",4.5,48,Bangalore,700,10,ENT/ Otorhinolaryngologist
AAA114,Dr. Thirumalesh K Reddy,"MBBS, MS - Orthopaedics",4.35,31,Bangalore,1000,28,"Orthopedic surgeon, Joint Replacement Surgeon"
AAA115,Dr. Mahesh Babu,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",5,18,Bangalore,800,14,"Urologist, Andrologist, Urological Surgeon"
AAA116,Dr. B V Shashidhar,BDS,5,11,Bangalore,300,16,Dentist
AAA117,Dr. Fayaz Pasha,"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Oral implantlogy",4.85,70,Bangalore,300,22,"Prosthodontist, Implantologist, Cosmetic/Aesthetic Dentist"
AAA118,Dr. Anupama Ashok,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",4.9,602,Bangalore,850,27,"Infertility Specialist, Gynecologist"
AAA119,Dr. Nanda Kumar Bhairi,"DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MBBS",4.95,540,Bangalore,500,19,"Orthopedic surgeon, Spine Surgeon (Ortho), Joint Replacement Surgeon, Spine And Pain Specialist"
AAA120,Dr. Anantharaman.R,"MD - General Medicine, DM - Endocrinology, MBBS",4.6,1734,Bangalore,800,15,Endocrinologist
AAA121,Dr. Roma Haider,BDS,4.9,48,Bangalore,600,25,Dental Surgeon
AAA122,Dr. Juvita Rasquinha,"MBBS, DDVL",4.55,769,Bangalore,500,18,"Dermatologist, Cosmetologist, Pediatric Dermatologist, Trichologist"
AAA123,Dr. Shashikala S,"MBBS, DGO",4.7,16,Bangalore,850,36,"Obstetrician, Gynecologist"
AAA124,Dr. Ritu Choudhary,"MBBS, MS - Obstetrics & Gynaecology",4.85,168,Bangalore,650,15,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Obstetrician"
AAA125,Dr. Mohan Badagandi,MBBS,4.55,121,Bangalore,1100,48,General Physician
AAA126,Dr. Vasunethra Kasargod,"MBBS, MD - Pulmonary Medicine",4.95,740,Bangalore,750,13,Pulmonologist
AAA127,Dr. Shruti Manjunath,"MBBS, MS - ENT",4.95,148,Bangalore,700,13,ENT/ Otorhinolaryngologist
AAA128,Dr. Ashwini G B,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",4.8,2702,Bangalore,800,21,"Gynecologist, Infertility Specialist, Obstetrician"
AAA129,Dr. Amarkishen Shetty,"MBBS, DM - Gastroenterology",4.45,128,Bangalore,900,34,Gastroenterologist
AAA130,Dr. Swati Kedia,"BDS, MDS - Pedodontics",4.95,298,Bangalore,500,14,"Dentist, Pediatric Dentist"
AAA131,Dr. Vidyamani Boriah,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",4.65,27,Bangalore,600,53,"Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
AAA132,Dr. Gurubasava,"MBBS, MD - General Medicine, DM - Gastroenterology",5,25,Bangalore,750,11,Gastroenterologist
AAA133,Dr. Amit Kumar,"BDS, MDS - Oral & Maxillofacial Surgery",4.9,130,Bangalore,350,22,"Dentist, Oral And MaxilloFacial Surgeon, Dental Surgeon, Implantologist"
AAA134,Dr. Anjana Ramesh,"DNB - Obstetrics & Gynecology, MBBS, MD - Obstetrics & Gynaecology",4.25,40,Bangalore,600,35,"Obstetrician, Gynecologist"
AAA135,Dr. Sachith Abraham,"MD - Skin & VD, MBBS",4.75,1385,Bangalore,1100,30,"Dermatologist, Cosmetologist"
AAA136,Dr. Ninan Thomas Panicker,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",4.05,53,Bangalore,800,39,Urologist
AAA137,Dr. Vipin Jain K,"BDS, MDS - Public Health Dentistry",4.85,39,Bangalore,300,16,"Public Health Dentist, Dental Surgeon"
AAA138,Dr. Anita Krishnan,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",4.9,3529,Bangalore,2000,31,ENT/ Otorhinolaryngologist
AAA139,Dr. Arathi.S.M,"MBBS, DGO",5,12,Bangalore,600,27,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
AAA140,Dr. Bharathi Rajanna,"MBBS, MD - Obstetrics & Gynaecology",4.5,102,Bangalore,500,35,"Gynecologist, Infertility Specialist, Obstetrician"
AAA141,Dr. Sonal Saumya,"Diploma In Prosthodontics, Crown Bridge And Oral Implantology, BDS",4.95,215,Bangalore,350,12,"Prosthodontist, Dentist, Implantologist"
AAA142,Dr. Ravi Raj GA,"BDS, MDS - Paedodontics And Preventive Dentistry",5,24,Bangalore,800,16,"Dentist, Pediatric Dentist"
AAA143,Dr. N Chandrashekar,"MCh - Neuro Surgery, MBBS",4.85,235,Bangalore,750,37,"Neurosurgeon, Spine Surgeon (Neuro)"
AAA144,Dr. Aparna Shintre,"MBBS, MD - Obstetrics & Gynaecology, DGO",4.9,158,Bangalore,850,26,"Obstetrician, Gynecologist"
AAA145,Dr. Suvarna Jyothi G,"MBBS, DNB - Obstetrics & Gynecology",5,174,Bangalore,700,14,"Obstetrician, Gynecologist"
AAA146,Dr. A Rahim Khan,"BDS, MDS - Orthodontics",4.9,374,Bangalore,500,20,"Dentofacial Orthopedist, Orthodontist"
AAA147,Dr. Subodh  Kumar Mahato   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",5,43,Bangalore,500,10,TherapistPhysiotherapist
AAA148,Dr. Savitha G,"MBBS, DGO, DNB - Obstetrics & Gynecology",5,26,Bangalore,450,19,"Gynecologist, Infertility Specialist, Obstetrician"
AAA149,Dr. Abhishek Shetty,"BDS, MDS - Conservative Dentistry & Endodontics",4.9,135,Bangalore,300,13,"Dentist, Endodontist"
AAA150,Dr. Nagaveni.R,"MBBS, DGO, DNB - Obstetrics & Gynecology",4.95,920,Bangalore,700,16,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist, Obstetrician"
AAA151,Dr. Jhansi Lakshmi Peddi,"MS - Obstetrics & Gynaecology, MBBS",4.85,29,Bangalore,650,12,"Obstetrician, Gynecologist, Infertility Specialist"
AAA152,Dr. Mukta Shrivastava,"MBBS, DOMS",5,31,Bangalore,1000,22,Ophthalmologist/ Eye Surgeon
AAA153,Dr. Akhila Anand,"MBBS, DGO",5,61,Bangalore,500,15,"Gynecologist, Obstetrician, Infertility Specialist"
AAA154,Dr. Lingaraju A.P,"MBBS, MS - Orthopaedics",4.95,86,Bangalore,750,22,Orthopedic surgeon
AAA155,Ms. Sushmaa Jaiswal,M.Sc. - Home Science (Food & Nutrition),4.65,421,Bangalore,2000,37,"TherapistDietitian/Nutritionist, Sports Nutritionist"
AAA156,Dr. Janet Alexander Castelino,"MBBS, MD - Dermatology",4.6,8297,Bangalore,2000,30,"Dermatologist, Cosmetologist"
AAA157,Dr. D Praveen Kumar,BHMS,5,29,Bangalore,500,20,AYUSHHomoeopath
AAA158,Dr. Rajeev M R,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH), DNB - Paediatrics",5,45,Bangalore,600,23,Pediatrician
AAA159,Dr. Uday M Muddebihal,"MBBS, MS - General Surgery, FRCS (Edinburgh), FRCS (Glasgow)",5,11,Bangalore,650,45,"General Surgeon, Laparoscopic Surgeon"
AAA160,Dr. M. R. Shashibhushan,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",4.85,546,Bangalore,850,25,"Pediatrician, Neonatologist"
AAA161,Dr. Darshan Kumar A Jain,"MBBS, MS - Orthopaedics, FNB - Hand and Microsurgery",4.75,39,Bangalore,800,17,"Hand Surgeon, Orthopedic surgeon"
AAA162,Dr. Beena Mathew,BNYS,4.9,54,Bangalore,500,29,"AYUSHYoga and Naturopathy, Acupuncturist"
AAA163,Dr. Dinesh,"BDS, MDS - Conservative Dentistry & Endodontics",4.75,55,Bangalore,500,15,"Dentist, Endodontist, Cosmetic/Aesthetic Dentist, Dental Surgeon"
AAA164,Dr. Arun K N,"MBBS, MD - General Medicine, DM - Nephrology",3.65,11,Bangalore,800,35,Nephrologist/Renal Specialist
AAA165,Dr. Arvind Balakrishna Kasaragod,"MBBS, MD - Pediatrics, MRCP (UK)",4.55,11,Bangalore,850,35,Pediatrician
AAA166,Dr. Yasha C,"MBBS, MS - ENT",5,72,Bangalore,500,11,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon"
AAA167,Dr. Poornima. M,"MBBS, MS - Obstetrics & Gynaecology",4.8,52,Bangalore,850,18,"Obstetrician, Gynecologist"
AAA168,Dr. Nagarathna D S,"MBBS, DGO",4.65,45,Bangalore,700,26,"Gynecologist, Obstetrician"
AAA169,Dr. Zeena Hanif,"BDS, Fellowship in Oral implantlogy",4.95,181,Bangalore,300,12,"Cosmetic/Aesthetic Dentist, Dental Surgeon"
AAA170,Dr. Sudhakara Reddy,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, DICOI",4.9,305,Bangalore,500,19,"Dentist, Implantologist, Oral And MaxilloFacial Surgeon, Dental Surgeon"
AAA171,Dr. Varsha S Patil,"MBBS, DDVL",4.8,76,Bangalore,700,14,Dermatologist
AAA172,Dr. Geetha B,"Post Graduate Diploma in Applied Nutrition and Dietetics, BAMS",5,34,Bangalore,250,38,"AYUSHAyurveda, Dietitian/Nutritionist, Alternative Medicine"
AAA173,Dr. Chandra Shekar,BHMS,5,19,Bangalore,300,23,"AYUSHHomoeopath, Sexologist (Homeopathy)"
AAA174,Dr. Praveen C R,"MBBS, MS - General Surgery",5,130,Bangalore,500,22,"General Surgeon, Laparoscopic Surgeon, Proctologist"
AAA175,Dr. Pratyush M,"MBBS, MD - General Medicine",4.65,29,Bangalore,600,15,"Internal Medicine, Consultant Physician, Special Interest in Diabetology"
AAA176,Dr. Subash.K.G.,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",4.6,12,Bangalore,700,15,Gastroenterologist
AAA177,Dr. Praveen Mathew,"MBBS, MD - General Medicine, DM - Gastroenterology",4.4,720,Bangalore,900,21,Gastroenterologist
